ID,pais,edad,año_nacimiento,sexo,años_educacion,estado_marital,decil_ingresos,satisfaccion_vida,felicidad,reuniones_sociales,deporte,horas_trabajo,problemas_sueño,interes_politica,confianza_politicos,importancia_tradiciones,uso_internet,sinceridad,nivel_entendimiento,generacion
50014,AT,65.0,1958.0,hombre,12.0,desconocido,6.0,8.0,8.0,4.0,3.0,40.0,1.0,1.0,5.0,3.0,5.0,bastante,casi siempre,baby boomers
50030,AT,21.0,2002.0,mujer,14.0,soltero,1.0,9.0,9.0,7.0,5.0,32.0,3.0,2.0,0.0,4.0,5.0,mucho,casi siempre,gen z
50057,AT,53.0,1970.0,mujer,16.0,desconocido,5.0,10.0,9.0,4.0,3.0,25.0,3.0,2.0,4.0,3.0,5.0,mucho,casi siempre,gen x
50106,AT,78.0,1945.0,mujer,14.0,divorciado legalmente,2.0,7.0,7.0,6.0,3.0,39.0,3.0,3.0,3.0,2.0,1.0,bastante,casi siempre,silent generation
50145,AT,64.0,1959.0,hombre,12.0,desconocido,4.0,9.0,9.0,5.0,3.0,35.0,1.0,2.0,5.0,2.0,5.0,bastante,casi siempre,baby boomers
50158,AT,59.0,1964.0,mujer,16.0,desconocido,9.0,8.0,8.0,6.0,4.0,40.0,2.0,2.0,5.0,2.0,5.0,mucho,casi siempre,baby boomers
50211,AT,77.0,1946.0,mujer,8.0,viudo,3.0,8.0,7.0,4.0,4.0,30.0,1.0,2.0,5.0,3.0,1.0,bastante,casi siempre,baby boomers
50212,AT,69.0,1954.0,mujer,17.0,desconocido,10.0,8.0,8.0,4.0,2.0,50.0,2.0,1.0,6.0,3.0,5.0,mucho,casi siempre,baby boomers
50213,AT,52.0,1971.0,mujer,12.0,desconocido,8.0,8.0,8.0,4.0,2.0,40.0,1.0,3.0,2.0,1.0,5.0,mucho,a menudo,gen x
50235,AT,75.0,1948.0,mujer,9.0,desconocido,3.0,8.0,7.0,3.0,1.0,40.0,1.0,2.0,8.0,3.0,1.0,mucho,a menudo,baby boomers
50236,AT,44.0,1979.0,mujer,17.0,soltero,4.0,8.0,8.0,4.0,5.0,38.0,1.0,1.0,6.0,3.0,5.0,mucho,casi siempre,gen x
50238,AT,49.0,1974.0,hombre,14.0,desconocido,6.0,5.0,5.0,4.0,5.0,40.0,1.0,2.0,3.0,1.0,5.0,bastante,a menudo,gen x
50240,AT,63.0,1960.0,mujer,12.0,desconocido,4.0,8.0,7.0,6.0,3.0,40.0,1.0,3.0,9.0,2.0,5.0,medio,casi siempre,baby boomers
50248,AT,76.0,1947.0,mujer,12.0,desconocido,4.0,8.0,8.0,4.0,2.0,50.0,1.0,2.0,0.0,2.0,1.0,medio,a menudo,baby boomers
50270,AT,30.0,1993.0,mujer,15.0,soltero,8.0,3.0,5.0,6.0,3.0,37.0,1.0,3.0,7.0,3.0,2.0,bastante,casi siempre,millennials
